title,authors,date,publisher,keywords,link,citations,abstract,first_author,total_uw
Multiple Patchy Cloud Layers in the Planetary-mass Object SIMP 0136+0933,"['McCarthy, Allison M.', 'Muirhead, Philip S.', 'Tamburo, Patrick', 'Vos, Johanna M.', 'Morley, Caroline V.', 'Faherty, Jacqueline', 'Bardalez Gagliuffi, Daniella C.', 'Agol, Eric', 'Theissen, Christopher']",2024-04-01,The Astrophysical Journal,"['Brown dwarfs', 'T dwarfs', 'Exoplanet atmospheres', 'Exoplanet atmospheric variability', 'Exoplanet atmospheric structure', 'Stellar atmospheres', '185', '1679', '487', '2020', '2310', '1584', 'Astrophysics - Earth and Planetary Astrophysics', 'Astrophysics - Solar and Stellar Astrophysics']",https://ui.adsabs.harvard.edu/abs/2024ApJ...965...83M/abstract,3.0,"Multiwavelength photometry of brown dwarfs and planetary-mass objects provides insight into their atmospheres and cloud layers. We present near-simultaneous J- and K <SUB> s </SUB>-band multiwavelength observations of the highly variable T2.5 planetary-mass object, SIMP J013656.5+093347. We reanalyze observations acquired over a single night in 2015 using a recently developed data reduction pipeline. For the first time, we detect a phase shift between J- and K <SUB> s </SUB>-band light curves, which we measure to be $39\buildrel{\circ}\over{.} {9}_{-1.1}^{+3.6}$ . Previously, phase shifts between near-infrared and mid-infrared observations of this object were detected and attributed to probing different depths of the atmosphere, and thus different cloud layers. Using the Sonora Bobcat models, we expand on this idea to show that at least two different patchy cloud layers must be present to explain the measured phase shift. Our results are generally consistent with recent atmospheric retrievals of this object and other similar L/T transition objects.",False,1
Potential Atmospheric Compositions of TRAPPIST-1 c Constrained by JWST/MIRI Observations at 15 μm,"['Lincowski, Andrew P.', 'Meadows, Victoria S.', 'Zieba, Sebastian', 'Kreidberg, Laura', 'Morley, Caroline', 'Gillon, Michaël', 'Selsis, Franck', 'Agol, Eric', 'Bolmont, Emeline', 'Ducrot, Elsa', 'Hu, Renyu', 'Koll, Daniel D. B.', 'Lyu, Xintong', 'Mandell, Avi', 'Suissa, Gabrielle', 'Tamburo, Patrick']",2023-09-01,The Astrophysical Journal,"['Exoplanet atmospheres', 'Extrasolar rocky planets', '487', '511', 'Astrophysics - Earth and Planetary Astrophysics']",https://ui.adsabs.harvard.edu/abs/2023ApJ...955L...7L/abstract,15.0,"The first James Webb Space Telescope observations of TRAPPIST-1 c showed a secondary eclipse depth of 421 ± 94 ppm at 15 μm, which is consistent with a bare rock surface or a thin, O<SUB>2</SUB>-dominated, low-CO<SUB>2</SUB> atmosphere. Here we further explore potential atmospheres for TRAPPIST-1 c by comparing the observed secondary eclipse depth to synthetic spectra of a broader range of plausible environments. To self-consistently incorporate the impact of photochemistry and atmospheric composition on atmospheric thermal structure and predicted eclipse depth, we use a two-column climate model coupled to a photochemical model and simulate O<SUB>2</SUB>-dominated, Venus-like, and steam atmospheres. We find that a broader suite of plausible atmospheric compositions are also consistent with the data. For lower-pressure atmospheres (0.1 bar), our O<SUB>2</SUB>-CO<SUB>2</SUB> atmospheres produce eclipse depths within 1σ of the data, consistent with the modeling results of Zieba et al. However, for higher-pressure atmospheres, our models produce different temperature-pressure profiles and are less pessimistic, with 1-10 bar O<SUB>2</SUB>, 100 ppm CO<SUB>2</SUB> models within 2.0σ-2.2σ of the measured secondary eclipse depth and up to 0.5% CO<SUB>2</SUB> within 2.9σ. Venus-like atmospheres are still unlikely. For thin O<SUB>2</SUB> atmospheres of 0.1 bar with a low abundance of CO<SUB>2</SUB> (~100 ppm), up to 10% water vapor can be present and still provide an eclipse depth within 1σ of the data. We compared the TRAPPIST-1 c data to modeled steam atmospheres of ≤3 bars, which are 1.7σ-1.8σ from the data and not conclusively ruled out. More data will be required to discriminate between possible atmospheres or more definitively support the bare rock hypothesis.",False,3
The Sloan Digital Sky Survey Reverberation Mapping Project: Key Results,"['Shen, Yue', 'Grier, Catherine J.', 'Horne, Keith', 'Stone, Zachary', 'Li, Jennifer I.', 'Yang, Qian', 'Homayouni, Yasaman', 'Trump, Jonathan R.', 'Anderson, Scott F.', 'Brandt, W. N.', 'Hall, Patrick B.', 'Ho, Luis C.', 'Jiang, Linhua', 'Petitjean, Patrick', 'Schneider, Donald P.', 'Tao, Charling', 'Donnan, Fergus. R.', 'AlSayyad, Yusra', 'Bershady, Matthew A.', 'Blanton, Michael R.', 'Bizyaev, Dmitry', 'Bundy, Kevin', 'Chen, Yuguang', 'Davis, Megan C.', 'Dawson, Kyle', 'Fan, Xiaohui', 'Greene, Jenny E.', 'Gröller, Hannes', 'Guo, Yucheng', 'Ibarra-Medel, Héctor', 'Jiang, Yuanzhe', 'Keenan, Ryan P.', 'Kollmeier, Juna A.', 'Lejoly, Cassandra', 'Li, Zefeng', 'de la Macorra, Axel', 'Moe, Maxwell', 'Nie, Jundan', 'Rossi, Graziano', 'Smith, Paul S.', 'Tee, Wei Leong', 'Weijmans, Anne-Marie', 'Xu, Jiachuan', 'Yue, Minghao', 'Zhou, Xu', 'Zhou, Zhimin', 'Zou, Hu']",2024-06-01,The Astrophysical Journal Supplement Series,"['Reverberation mapping', 'Surveys', 'Quasars', '2019', '1671', '1319', 'Astrophysics - Astrophysics of Galaxies', 'Astrophysics - Cosmology and Nongalactic Astrophysics']",https://ui.adsabs.harvard.edu/abs/2024ApJS..272...26S/abstract,28.0,"We present the final data from the Sloan Digital Sky Survey (SDSS) Reverberation Mapping (RM) project, a precursor to the SDSS-V Black Hole Mapper RM program. This data set includes 11 yr photometric and 7 yr spectroscopic light curves for 849 broad-line quasars over a redshift range of 0.1 &lt; z &lt; 4.5 and a luminosity range of L <SUB>bol</SUB> = 10<SUP>44‑47.5</SUP> erg s<SUP>‑1</SUP>, along with spectral and variability measurements. We report 23, 81, 125, and 110 RM lags (relative to optical continuum variability) for broad Hα, Hβ, Mg II, and C IV using the SDSS-RM sample, spanning much of the luminosity and redshift ranges of the sample. Using 30 low-redshift RM active galactic nuclei with dynamical-modeling black hole masses, we derive a new estimate of the average virial factor of <inline-formula> <tex-math> $\left\langle \mathrm{log}f\right\rangle =0.62\pm 0.07$ </tex-math> </inline-formula> for the line dispersion measured from the rms spectrum. The intrinsic scatter of individual virial factors is 0.31 ± 0.07 dex, indicating a factor of 2 systematic uncertainty in RM black hole masses. Our lag measurements reveal significant R–L relations for Hβ and Mg II at high redshift, consistent with the latest measurements based on heterogeneous samples. While we are unable to robustly constrain the slope of the R–L relation for C IV given the limited dynamic range in luminosity, we found substantially larger scatter in C IV lags at fixed L <SUB>1350</SUB>. Using the SDSS-RM lag sample, we derive improved single-epoch (SE) mass recipes for Hβ, Mg II, and C IV, which are consistent with their respective RM masses as well as between the SE recipes from two different lines, over the luminosity range probed by our sample. The new Hβ and Mg II recipes are approximately unbiased estimators at given RM masses, but there are systematic biases in the C IV recipe. The intrinsic scatter of SE masses around RM masses is ∼0.45 dex for Hβ and Mg II, increasing to ∼0.58 dex for C IV.",False,2
Exploring Changing-look Active Galactic Nuclei with the Sloan Digital Sky Survey V: First Year Results,"['Zeltyn, Grisha', 'Trakhtenbrot, Benny', 'Eracleous, Michael', 'Yang, Qian', 'Green, Paul', 'Anderson, Scott F.', 'LaMassa, Stephanie', 'Runnoe, Jessie', 'Assef, Roberto J.', 'Bauer, Franz E.', 'Brandt, W. N.', 'Davis, Megan C.', 'Frederick, Sara E.', 'Fries, Logan B.', 'Graham, Matthew J.', 'Grogin, Norman A.', 'Guolo, Muryel', 'Hernández-García, Lorena', 'Koekemoer, Anton M.', 'Krumpe, Mirko', 'Liu, Xin', 'Martínez-Aldama, Mary Loli', 'Ricci, Claudio', 'Schneider, Donald P.', 'Shen, Yue', 'Śniegowska, Marzena', 'Temple, Matthew J.', 'Trump, Jonathan R.', 'Xue, Yongquan', 'Brownstein, Joel R.', 'Dwelly, Tom', 'Morrison, Sean', 'Bizyaev, Dmitry', 'Pan, Kaike', 'Kollmeier, Juna A.']",2024-05-01,The Astrophysical Journal,"['Quasars', 'Supermassive black holes', '1319', '1663', 'Astrophysics - Astrophysics of Galaxies', 'Astrophysics - High Energy Astrophysical Phenomena']",https://ui.adsabs.harvard.edu/abs/2024ApJ...966...85Z/abstract,3.0,"""Changing-look"" active galactic nuclei (CL-AGNs) challenge our basic ideas about the physics of accretion flows and circumnuclear gas around supermassive black holes. Using first-year Sloan Digital Sky Survey V (SDSS-V) repeated spectroscopy of nearly 29,000 previously known active galactic nuclei (AGNs), combined with dedicated follow-up spectroscopy, and publicly available optical light curves, we have identified 116 CL-AGNs where (at least) one broad emission line has essentially (dis-)appeared, as well as 88 other extremely variable systems. Our CL-AGN sample, with 107 newly identified cases, is the largest reported to date, and includes ∼0.4% of the AGNs reobserved in first-year SDSS-V operations. Among our CL-AGNs, 67% exhibit dimming while 33% exhibit brightening. Our sample probes extreme AGN spectral variability on months to decades timescales, including some cases of recurring transitions on surprisingly short timescales (≲2 months in the rest frame). We find that CL events are preferentially found in lower-Eddington-ratio (f <SUB>Edd</SUB>) systems: Our CL-AGNs have a f <SUB>Edd </SUB>distribution that significantly differs from that of a carefully constructed, redshift- and luminosity-matched control sample (Anderson–Darling test yielding p <SUB>AD</SUB> ≈ 6 × 10<SUP>‑5</SUP>; median f <SUB>Edd</SUB> ≈ 0.025 versus 0.043). This preference for low f <SUB>Edd</SUB> strengthens previous findings of higher CL-AGN incidence at lower f <SUB>Edd</SUB>, found in smaller samples. Finally, we show that the broad Mg II emission line in our CL-AGN sample tends to vary significantly less than the broad Hβ emission line. Our large CL-AGN sample demonstrates the advantages and challenges in using multi-epoch spectroscopy from large surveys to study extreme AGN variability and physics.",False,1
Negative Cosmic Evolution of BL Lac Objects from the Sloan Digital Sky Survey,"['Clapp, Octavia D.', 'Plotkin, Richard M.', 'Anderson, Scott F.']",2024-03-01,Research Notes of the American Astronomical Society,"['Blazars', 'BL Lacertae objects', 'Cosmological evolution', '164', '158', '336']",https://ui.adsabs.harvard.edu/abs/2024RNAAS...8...67C/abstract,0.0,"BL Lacertae (BL Lac) objects are a type of active galactic nucleus (AGN) characterized by featureless optical spectra, where a relativistic jet is oriented toward the observer. By studying BL Lacs objects, we improve our understanding of accretion processes, high-energy particle acceleration, magnetic field structures in extreme environments, and galaxy formation and evolution. Generally, luminous AGNs (i.e., quasars) exhibit ""positive"" evolution. This means that, on average, quasars are more numerous and/or more luminous in the early Universe, at higher redshifts, than they are today. However, the evolution of BL Lacs has been long disputed, in part due to selection biases and small sample sizes. Here we perform the luminosity–volume test of BL Lac evolution on a uniformly selected sample and find that BL Lacs instead exhibit mild negative evolution. We conclude by putting our results into context with previous studies on BL Lac evolution.",False,1
The Sloan Digital Sky Survey Reverberation Mapping Project: Investigation of Continuum Lag Dependence on Broad-line Contamination and Quasar Properties,"['Sharp, Hugh W.', 'Homayouni, Y.', 'Trump, Jonathan R.', 'Anderson, Scott F.', 'Assef, Roberto J.', 'Brandt, W. N.', 'Davis, Megan C.', 'Fries, Logan B.', 'Grier, Catherine J.', 'Hall, Patrick B.', 'Horne, Keith', 'Koekemoer, Anton M.', 'Martínez-Aldama, Mary Loli', 'Menezes, David M.', 'Pena, Theodore', 'Ricci, C.', 'Schneider, Donald P.', 'Shen, Yue', 'Trakhtenbrot, Benny']",2024-01-01,The Astrophysical Journal,"['Quasars', 'Active galactic nuclei', 'Supermassive black holes', '1319', '16', '1663', 'Astrophysics - Astrophysics of Galaxies']",https://ui.adsabs.harvard.edu/abs/2024ApJ...961...93S/abstract,2.0,"This work studies the relationship between accretion-disk size and quasar properties, using a sample of 95 quasars from the Sloan Digital Sky Survey Reverberation Mapping Project with measured lags between the g and i photometric bands. Our sample includes disk lags that are both longer and shorter than predicted by the Shakura and Sunyaev model, requiring explanations that satisfy both cases. Although our quasars each have one lag measurement, we explore the wavelength-dependent effects of diffuse broad-line region (BLR) contamination through our sample's broad redshift range, 0.1 &lt; z &lt; 1.2. We do not find significant evidence of variable diffuse Fe II and Balmer nebular emission in the rms spectra, nor from Anderson-Darling tests of quasars in redshift ranges with and without diffuse nebular emission falling in the observed-frame filters. Contrary to previous work, we do not detect a significant correlation between the measured continuum and BLR lags in our luminous quasar sample, similarly suggesting that our continuum lags are not dominated by diffuse nebular emission. Similar to other studies, we find that quasars with larger-than-expected continuum lags have lower 3000 Å luminosities, and we additionally find longer continuum lags with lower X-ray luminosities and black hole masses. Our lack of evidence for diffuse BLR contribution to the lags indicates that the anticorrelation between continuum lag and luminosity is not likely to be due to the Baldwin effect. Instead, these anticorrelations favor models in which the continuum lag increases in lower-luminosity active galactic nuclei, including scenarios featuring magnetic coupling between the accretion disk and X-ray corona, and/or ripples or rims in the disk.",False,1
A Markedly Expanded Sample of Candidate X-Ray-emitting Isolated Neutron Stars,"['Demasi, Sebastian', 'Anderson, Scott F.', 'Agüeros, Marcel A.']",2024-01-01,The Astrophysical Journal,"['Neutron stars', 'X-ray surveys', '1108', '1824']",https://ui.adsabs.harvard.edu/abs/2024ApJ...961...36D/abstract,0.0,"The current sample of 12 radio-quiet isolated neutron stars that emit strongly in X-rays (XINSs) is both small and heterogeneous, limiting its usefulness for understanding the physics of neutron star atmospheres and cooling rates and for constraining the equation of state of neutron degenerate matter. Utilizing the ROSAT 1RXS and 2RXS data sets, in conjunction with the Sloan Digital Sky Survey Data Release 17 and other companion multiwavelength surveys, we have extended previous searches for blank-field X-ray source candidate XINSs, ultimately recovering two known XINSs while identifying 46 new, unstudied candidate fields devoid of likely multiwavelength counterparts. In this publication, we describe our selection approach and provide detailed information regarding our sample of new candidate XINSs. Future opportunities to verify or to refute these X-ray sources as isolated neutron stars by obtaining more accurate X-ray source positions, quality X-ray spectra, or deeper optical imaging are also discussed.",False,1
Orbital Stability and Secular Dynamics of the Proxima Centauri Planetary System,"['Livesey, Joseph R.', 'Barnes, Rory', 'Deitrick, Russell']",2024-03-01,The Astrophysical Journal,"['Astrobiology', 'Exoplanet dynamics', 'N-body simulations', '74', '490', '1083', 'Astrophysics - Earth and Planetary Astrophysics']",https://ui.adsabs.harvard.edu/abs/2024ApJ...964....4L/abstract,1.0,"The two innermost planets of the Proxima Centauri system are separated by just 0.02 au, inducing strong gravitational interactions between them. We assess this interaction by leveraging fast orbital stability indicators and find that orbital stability is very likely if the initial eccentricities of planets b and d are less than ∼0.2, but cannot confirm stability at larger values. We find that stability is not strongly affected by the true masses of the planets or by the distant planet c. However, mutual inclinations between 95° and 142° often result in unstable motion. We further explore the long-term evolution of the orbits in these stable regions of parameter space and find that circularization can take over 5 Gyr. This tidal evolution could support surface energy fluxes in excess of 1 W m<SUP>‑2</SUP> for over 1 Gyr, possibly affecting planet b's habitability.",False,1
Atmospheric Escape From Three Terrestrial Planets in the L 98-59 System,"['Fromont, Emeline F.', 'Ahlers, John P.', 'do Amaral, Laura N. R.', 'Barnes, Rory', 'Gilbert, Emily A.', 'Quintana, Elisa V.', 'Peacock, Sarah', 'Barclay, Thomas', 'Youngblood, Allison']",2024-01-01,The Astrophysical Journal,"['Exoplanet evolution', 'Exoplanet atmospheres', 'Star-planet interactions', '491', '487', '2177', 'Astrophysics - Earth and Planetary Astrophysics']",https://ui.adsabs.harvard.edu/abs/2024ApJ...961..115F/abstract,0.0,"A critically important process affecting the climate evolution and potential habitability of an exoplanet is atmospheric escape, in which high-energy radiation from a star drives the escape of hydrogen atoms and other light elements from a planet's atmosphere. L 98-59 is a benchmark system for studying such atmospheric processes, with three transiting terrestrial-sized planets receiving Venus-like instellations (4-25 S <SUB>⊕</SUB>) from their M3 host star. We use the VPLanet model to simulate the evolution of the L 98-59 system and the atmospheric escape of its inner three small planets, given different assumed initial water quantities. We find that, regardless of their initial water content, all three planets accumulate significant quantities of oxygen due to efficient water photolysis and hydrogen loss. All three planets also receive enough strong X-ray and extreme-ultraviolet flux to drive rapid water loss, which considerably affects their developing climates and atmospheres. Even in scenarios of low initial water content, our results suggest that the JWST will be sensitive to observations of retained oxygen on the L 98-59 planets in its future scheduled observations, with planets b and c being the most likely targets to possess an extended atmosphere. Our results constrain the atmospheric evolution of these small rocky planets, and they provide context for current and future observations of the L 98-59 system to generalize our understanding of multiterrestrial planet systems.",False,1
Dramatic Rebrightening of the Type-changing Stripped-envelope Supernova SN 2023aew,"['Sharma, Yashvi', 'Sollerman, Jesper', 'Kulkarni, Shrinivas R.', 'Moriya, Takashi J.', 'Schulze, Steve', 'Barmentloo, Stan', 'Fausnaugh, Michael', 'Gal-Yam, Avishay', 'Jerkstrand, Anders', 'Ahumada, Tomás', 'Bellm, Eric C.', 'Das, Kaustav K.', 'Drake, Andrew', 'Fremling, Christoffer', 'Hale, David', 'Hall, Saarah', 'Hinds, K. R.', 'Jegou du Laz, Theophile', 'Karambelkar, Viraj', 'Kasliwal, Mansi M.', 'Masci, Frank J.', 'Miller, Adam A.', 'Nir, Guy', 'Perley, Daniel A.', 'Purdum, Josiah N.', 'Qin, Yu-Jing', 'Rehemtulla, Nabeel', 'Rich, R. Michael', 'Riddle, Reed L.', 'Rodriguez, Antonio C.', 'Rose, Sam', 'Somalwar, Jean', 'Wise, Jacob L.', 'Wold, Avery', 'Yan, Lin', 'Yao, Yuhan']",2024-05-01,The Astrophysical Journal,"['Core-collapse supernovae', 'Type Ib supernovae', 'Type Ic supernovae', '304', '1729', '1730', 'Astrophysics - High Energy Astrophysical Phenomena']",https://ui.adsabs.harvard.edu/abs/2024ApJ...966..199S/abstract,1.0,"Multipeaked supernovae with precursors, dramatic light-curve rebrightenings, and spectral transformation are rare, but are being discovered in increasing numbers by modern night-sky transient surveys like the Zwicky Transient Facility. Here, we present the observations and analysis of SN 2023aew, which showed a dramatic increase in brightness following an initial luminous (‑17.4 mag) and long (∼100 days) unusual first peak (possibly precursor). SN 2023aew was classified as a Type IIb supernova during the first peak but changed its type to resemble a stripped-envelope supernova (SESN) after the marked rebrightening. We present comparisons of SN 2023aew's spectral evolution with SESN subtypes and argue that it is similar to SNe Ibc during its main peak. P-Cygni Balmer lines are present during the first peak, but vanish during the second peak's photospheric phase, before Hα resurfaces again during the nebular phase. The nebular lines ([O I], [Ca II], Mg I], Hα) exhibit a double-peaked structure that hints toward a clumpy or nonspherical ejecta. We analyze the second peak in the light curve of SN 2023aew and find it to be broader than that of normal SESNe as well as requiring a very high <SUP>56</SUP>Ni mass to power the peak luminosity. We discuss the possible origins of SN 2023aew including an eruption scenario where a part of the envelope is ejected during the first peak and also powers the second peak of the light curve through interaction of the SN with the circumstellar medium.",False,1
